评论,正向指数,负向指数,情感分类
"('10月21日全国扫黑办召开新闻发布会，大家关心的这些问题都有了明确的答案。国家监委与最高人民法院、最高人民检察院、公安部、司法部联合印发的《关于在扫黑除恶专项斗争中分工负责、互相配合、互相制约 严惩公职人员涉黑涉恶违法犯罪问题的通知》全国扫黑除恶专项斗争领导小组办公室：http://www.12337.gov.cn/中共中央纪律检查委员会/中华人民共和国国家监察委员会：http://www.12388.gov.cn/中华人民共和国最高人民检察院：http://www.12309.gov.cn/中华人民共和国公安部举报中心：http://www.12389.gov.cn/中央网信办（国家互联网信息办公室）违法和不良信息举报中心：http://www.12377.cn/任何组织和个人不得通过虐待、胁迫等非法手段从事预防和干预未成年人沉迷网络的活动，损害未成年人身心健康，侵犯未成年人合法权益。',)","('55.83%',)","('44.17%',)",负向
"('骚扰的人一般不会亲自出马 都是各种乱七八糟的号码，当不成实质证据。也不是没报案，但是证据不足',)","('0.065%',)","('99.935%',)",负向
"('回复 @哎呦威子 :如果不放出实在的证据，加油是帮不到受到伤害的人的',)","('0.775%',)","('99.225%',)",负向
"('我跟我妈提了豫章书院，然后她说之前不晓得有这种地方，知道的话就把我送过去。虽然知道只是开玩笑的话，但还是……心凉了半截。',)","('0.257%',)","('99.743%',)",负向
"('那你要开始留意有哪些好的养老院了',)","('11.821%',)","('88.179%',)",负向
"('我不知道那样的父母是不是玩笑话，特别是父母圈还有那种毒鸡汤，说富豪骗孩子家里负债，于是孩子从刁蛮任性变为懂事听话的，有长辈开过玩笑说要把孩子送去变形计，或者哪个交通不畅的山沟沟里。不管他们是不是玩笑，总之，他们只是想着一劳永逸毫不费心就能让孩子懂事听话罢了。',)","('0.017%',)","('99.983%',)",负向
"('回复 @Sydney123456 :真的，有的父母真的是都不愿去改变自己，只希望生个孩子永远跟幼儿时一样听他们的话，他们就开心了，凡是孩子说他们哪儿不对的，他们就开始说现在的孩子只会跟父母对着来吧啦吧啦的',)","('12.552%',)","('87.448%',)",负向
"('几年前，我妈也想让我去内似的戒网瘾学校，我不去，因为我有认识的人去了后被打成残疾了，我告诉我父母，我妈还不信认为我在说谎，然后一边用扫把棍打我（很用力那种）一边说他们难道会这样打我吗？我当时心都死了，然后我父母就开车送我去了那个学校，当时那学校的教官带我进去的时候，我说让我最后和父母说说话，我就给我妈跪下了，我说今天你们送我进了这里，最好不要让我活着出来，不然等我出来了在场所有人（有我父母两个老师一个教官）我见一个杀一个，今天这一跪后我们就断绝母子关系。我妈当时就哭了，骂我不孝。我爸就打了我妈一耳光，问她是不是要家破人亡才满意，然后就拉我，要带我回家，那学校的老师和教官还不许，说管教几天就好了，我爸直接开车说，今天谁敢动我儿子我就撞死谁。这才带我回了家。一年多后我把豫章的事转给了我父母，我爸告诉我我妈哭了很久说对不起我（那天后我就没和她说过一句话），让我原谅她，我和我妈视频说那天的事耗尽了一个母亲在我心里的所有正面形象，也摧毁了我们母子间的所以信任，我不恨你，但还没学会相信你。直到现在我依旧不愿意我妈进我房间，不愿意她碰我，我知道这是不对的，我知道我心理有问题，但我还是走不出来。因为我只要一想到我妈差点抛弃我我就回到那种死了就好的状态。',)","('0.02%',)","('99.98%',)",负向
"('加油，不要被别人打击，要一直坚持啊，虽然会很久，但是你真的很棒！',)","('99.991%',)","('0.009%',)",负向
"('希望这所有的努力不会化为泡影',)","('9.922%',)","('90.078%',)",负向
"('化为电影',)","('94.938%',)","('5.062%',)",负向
"('回复 @美味蛆虫 :拍了让你通过但是却改不了任何现状和完全都不让你拍出来，到底哪个更绝望？',)","('0.237%',)","('99.763%',)",负向
"('动漫理想禁区就很好的说了这类事',)","('99.369%',)","('0.631%',)",负向
"('大家都看了就关注一下吧，相信大家不差一个关注吧，等事情解决再取关都行，关注的越多，up主越安全啊，麻烦大家了，做不了什么，只能这样尽自己一份力，让微博那些洗地的人，看看B站小伙伴的力量[2233娘_怒]',)","('18.245%',)","('81.755%',)",负向
"('很多人关注了的，星期天晚上up才17万粉。',)","('90.916%',)","('9.084%',)",负向
"('给你给所有的志愿者点赞，你们真的很勇敢',)","('99.995%',)","('0.005%',)",负向
"('头条上的人民日报已经点名了，具体的还要看落实的怎样',)","('9.047%',)","('90.953%',)",负向
"('希望尽快有好的结果吧。一想到我们这里每过一天，豫章书院里的孩子被折磨一天，就恨不得时间慢点走，他们少受一点苦，等等我们，很快就能救他们出来了。',)","('58.186%',)","('41.814%',)",负向
"('等到家长进去时，你就像是他们口中所说的家长了，我们不支持这种行为，这是对的，但我们绝不能用这种行为报复这些‘’沉迷的家长‘’，我痛恨这种行为，但不意味着我们可以用这种行为对待没做好或是沉迷的家长，希望不要这么想，我们看到这些内容很气愤，但不应被气愤冲昏头脑。',)","('0.004%',)","('99.996%',)",负向
"('或许看这个视频不会有多少家长，但或许会有很多沉迷于网络的青少年吧。在这里说下我一个比较远房点的堂弟戒除网瘾的方法，算是给家长，也是给网瘾的你的一个提示吧。当然，每个人都不一样，这个方法未必适合你。我这个弟弟呢，是我爷爷的弟弟，也就是我叔公的孙子。我叔叔九几年来深圳打拼，算不算富余，但也是属于小康之家了。自己开了家小公司，平时应酬还是蛮多的。他平时教育小孩的方式算是很传统的那种棍棒教育，而我婶子则是那种溺爱式的教育。在这种极端环境下呢，我弟也就开始沉迷网络游戏，而且经常性逃课去玩游戏。那会呢，我大学刚毕业1年，他上高一，玩的DNF。然后把他的学费1万8（上的是民办的那种学校，有点贵族式那种）全拿来玩游戏了。对老师就说家里暂时拿不出钱，要暂缓交学费。他也是个人才，一直忽悠学校忽悠了快1个学期，还找了个人冒充我叔给老师打电话解释。后面是学校顶不住了，家访，才败露。事情败露后呢，我叔是气到心律不齐住院了。两父子还打了一架。。。。。。我婶呢，除了哭啥都做不了。那会我跟我弟其实关系还可以，我还带着他刷过图。。。。。。[无语]，他还是乐意跟我聊天。通过聊天呢，基本上我是明白了他的一些想法，他也不想要玩游戏，但这玩意就像DUPIN一样，不玩的时候百爪挠心，感觉非常枯燥觉得人生都没意义。（我不是学心理的，不知道是不是抑郁症之类的心理问题）那会很凑巧，我刚跟女朋友完成了一次从广东开车到山东的自驾游，虽然一路上都是瞎折腾，没玩到啥，但走了那么远的路，就是感觉整个人的视野开阔了很多，于是就跟我叔建议，反正目前书也读不成了，要不直接带着我弟也来一趟父子的自驾游吧。当时我叔也不知道啥心理吧，结果也就听了我这个建议，带着我弟开车从广东一路跑到了新疆。。。。。边走边玩花了2个半月吧。路上故事蛮多的，回来之后两个人都是变了，虽然谈不上父慈子孝，但至少关系也不再像仇人一样了。我弟也基本上是脱离了网瘾，虽然书还是读不懂高中读完就出来帮我书的忙做生意了。。。。。。',)","('63.821%',)","('36.179%',)",负向
"('没办法，只有一个一个杀，出来一个无菌包，就杀掉一个无菌包，出来一个李军包，就杀掉一个李军包，用自然法则淘汰掉那些敢于成为菌包的人，而且还要报复他们家人，治标治本',)","('0.0%',)","('100.0%',)",负向
"('av73677520，豫章书院关了，但吴军豹另一家戒网瘾学校还在运营。一个豫章书院倒下来，其实还有千千万万个豫章书院。',)","('46.005%',)","('53.995%',)",负向
"('罪恶的根源，还在',)","('73.975%',)","('26.025%',)",负向
"('最可悲的是家长仍然会把孩子送进去',)","('18.007%',)","('81.993%',)",负向
"('视频都不见了',)","('0.822%',)","('99.178%',)",负向
"('当你深入了解这类教育机构后，你就会发现不仅仅是豫章书院的问题，其实更多的是家长的问题。豫章书院的孩子大多数就是有点贪玩的善良孩子，被家长扣上了网瘾的帽子，强行送到这里。而那些欺凌，斗殴，抢钱的坏孩子，家长是不会把他们送进来的。因为在这些家长眼里，玩手机电脑，就是坏孩子，甚至比那些杀人放火的熊孩子都坏，自己又懒得管，所以就送到这种机构里，只要对方打出一个个美好的承诺，这些家长就会发疯的把孩子送进去，这些机构也是看准了这一点才能赚上亿。再补充一点，真正的坏孩子，这种机构是不收的，因为他们会自发的组成团伙，拉帮结派，像暴徒那样把教官打死，这种机构收的都是好孩子，只是爱玩手机被家长扣上了网瘾少年，坏孩子的帽子而已。',)","('10.461%',)","('89.539%',)",负向
"('我有个朋友，就是被送到这种学校的，待了好像两年多，回来这个人都变了，根本不联系我们这些朋友，我去找过他两次，第一次去找他，没见到他，他妈见的我说他不在，第二次去找他，人没了，自杀了，在我们这的华强大酒店顶楼跳楼自杀了。以前挺开朗的一个人，好好的就没了，唉。开这种学校的人都该死。',)","('0.041%',)","('99.959%',)",负向
"('做志愿者提供证据吧[大笑]',)","('13.782%',)","('86.218%',)",负向
"('我觉得这个会被删掉，up主太不容易了，国内的黑暗势力太多了',)","('46.53%',)","('53.47%',)",负向
"('小破站这一点上还是可以的，不像渣浪一样，买热搜、压热搜、删共青团的微博',)","('34.221%',)","('65.779%',)",负向
"('b站应该还好 现在已经上热门榜第一了',)","('91.833%',)","('8.167%',)",负向
"('2020年4月12日，视频还在',)","('87.254%',)","('12.746%',)",负向
"('虽然迟到的正义不是正义，但是我们依旧需要它。这几天看了很多关于这件事的信息，却发现自己除了愤怒无能为力。加油，一定要保护好自己。',)","('99.851%',)","('0.149%',)",负向
"('我也是一直在关注，这几天每天都要点进温柔发的上一个视频好几次。',)","('99.976%',)","('0.024%',)",负向
"('@共青团中央@浙江共青团@广东共青团@贵州共青团@山东共青团@共青团上海市静安区委@青年湖南@安徽共青团@河南共青团@中国长安网',)","('95.89%',)","('4.11%',)",负向
